Year,SSP1‒ 2.6,SSP2‒3.4,SSP3‒6.0,SSP5‒Baseline
2020,1,1,1,1
2030,1.1089,1.12346,1.15665,1.1775
2040,1.19036,1.24834,1.32802,1.43414
2050,1.23499,1.35957,1.50368,1.7993
2060,1.24687,1.44094,1.69473,2.32185
2070,1.23472,1.48054,1.89081,3.06118
2080,1.19864,1.48348,2.06918,4.06758
2090,1.14243,1.45965,2.23223,5.33602
2100,1.08681,1.42166,2.39212,6.81144
2110,1.03259,1.38416,2.55753,8.46674
2120,0.97974,1.34717,2.72847,10.30191
2130,0.93104,1.31067,2.90495,12.31695
2140,0.93104,1.27468,3.08695,14.51185
2150,0.93104,1.23919,3.27448,16.88663
