Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage
1,Winter Weather,1,1999,2,0,0,30432669
2,Severe Storm/Thunder Storm/ Wind,1,1999,1,0,21,2828393
3,Lightning,2,1999,1,0,35,0
1,Lightning,2,1999,1,0,0,292374
1,Severe Storm/Thunder Storm/ Wind,2,1999,1,0,0,79022
1,Hail,2,1999,1,0,0,73537
2,Flooding,2,1999,1,0,0,410606
1,Severe Storm/Thunder Storm/ Wind,3,1999,1,0,0,154572
4,Hail,3,1999,1,0,0,8282
2,Heat,3,1999,12,0,175,0
1,Heat,3,1999,6,16,0,0
1,Severe Storm/Thunder Storm/ Wind,3,1999,1,0,0,1006887
2,Lightning,3,1999,1,0,12,0
5,Severe Storm/Thunder Storm/ Wind,3,1999,1,0,0,12000604
1,Flooding,3,1997,1,0,0,1678568
2,Hail,2,1997,1,0,0,0
4,Lightning,3,1997,1,0,0,4648123
5,Lightning,3,1997,1,0,0,3360901
1,Winter Weather,1,1997,1,0,0,594132
1,Wind,2,1997,1,0,68,44940
2,Severe Storm/Thunder Storm/ Wind,4,1997,1,0,0,75582
2,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,25,8266818
4,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,49,487401
4,Severe Storm/Thunder Storm/ Wind,2,1997,1,0,49,0
3,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,0,313904
3,Severe Storm/Thunder Storm/ Wind,2,1997,1,0,10,287238
3,Severe Storm/Thunder Storm/ Wind,4,1997,1,0,0,34138
3,Severe Storm/Thunder Storm/ Wind,1,1997,1,0,0,86147
5,Severe Storm/Thunder Storm/ Wind,2,1997,1,0,0,748293
1,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,0,80773
1,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,0,376247
1,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,232643
1,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,6042782
1,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,241536
1,Severe Storm/Thunder Storm/ Wind,2,1996,1,0,0,248075
1,Severe Storm/Thunder Storm/ Wind,2,1996,1,0,0,162165
1,Severe Storm/Thunder Storm/ Wind,2,1996,1,0,0,74623
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,217806
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,314408
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,173072
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,305848
1,Winter Weather,1,1996,1,23,0,0
2,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,8658
2,Flooding,3,1996,1,0,0,2882844
2,Hurricane/Tropical Storm,3,1996,1,0,0,13037192
2,Lightning,3,1996,1,0,0,167761
2,Hurricane/Tropical Storm,3,1996,1,10,0,14333378
4,Lightning,2,1996,1,0,11,0
4,Lightning,3,1996,1,0,0,3064508
3,Flooding,1,1996,1,0,0,85949
3,Lightning,3,1996,1,0,0,1733016
1,Hail,1,1992,1,0,0,833815
