"Region","Hazard.Event","Quarter","Year","Duration","Fatalities","Injuries","Property.Damage","Census2021","Census2020","Census2019","Percent.over18","Percent.age.65.over","HousingUnits","Owner-OccupiedHU","MedianValue.Owner-OccupiedHU","Median.Monthly.Homeowner.Housing.Costs","Median.Rent","Building.Permits2021","LaborForce","AccoFSSales","HCSASales2017","TWSales2017","RetailSales2017","RetailSales2017PC","HH2016-2020","PersonsPHH2016-2020","MedianHHIncome","PriorYear.PCIncome","Poverty","Num.Employers","Total.Employment2020","Total.Annual.Payroll","Population.hectare","Land.hectares","GDP2020","GDP2019","Temp.HousingCost.Disaster","PropertyLevel1","PropertyLevel2","PropertyLevel3","PropertyLevel4","PropertyLevel5","PropertyLevel6","PropertyLevel7","PropertyLevel8","PropertyLevel9","PropertyLevel10","PropertyLevel11","PropertyLevel12","PropertyLevel13","Hazard.Cluster"
"1","Severe Weather",1,1999,2,0,0,30432669,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"2","Severe Weather",1,1999,1,0,21,2828393,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"Severe Weather"
"3","Severe Weather",2,1999,1,0,35,0,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"Severe Weather"
"1","Severe Weather",2,1999,1,0,0,292374,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1999,1,0,0,79022,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1999,1,0,0,73537,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"2","Flooding",2,1999,1,0,0,410606,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"FH"
"1","Severe Weather",3,1999,1,0,0,154572,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"4","Severe Weather",3,1999,1,0,0,8282,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"Severe Weather"
"2","Drought/Heat",3,1999,12,0,175,0,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"TDH"
